Headword,Page,Construction,English Meaning,entry_text
ضَبْطُ,368,ضبط ڪرڻ,"Measuring land, Confiscation, To measure, To confiscate, sequestrate, A land measurer, Discipline, Attachment","89) ضَبْطُ
			(p. 368) ضَبْطُ n. Measuring land. Confiscation. ضبط ڪرڻ v. t. To measure (land), survey. To confiscate, sequestrate. ضابِطُ n. A land measurer. ضابِطو n. Discipline. ضبطيِ n. (law) Attachment (of property), forfeiture, confiscation."
ضَرْبَ,368,ضرب ڪرڻ,"Multiplier, To multiply, A mint, To hurt, injure by a blow, to dint; impress, stamp, Damaged","90) ضَرْبَ
			(p. 368) ...Multiplier. ضرب ڪرڻ To multiply. ضربِخانو n. A mint. ضَرْبَڻُ v. t. To hurt, injure by a blow, to dint; impress, stamp. ضربيل a. Damaged."
طِبَ,369,طب ڪرڻ,"A medicinal book, a work on medicine, pharmacop, To serve","91) طِبَ
			(p. 369) طِبَ n. A medicinal book, a work on medicine, pharmacopœia. طب ڪرڻ (fig.) To serve (one) right."
طَئيِ,371,طَئي ڪرڻ,"A fold, plait, Completion, To roll up, fold","92) طَئيِ
			(p. 371) طَئيِ n. A fold, plait. Completion. طَئي ڪرڻ To roll up, fold."
عَدالَتَ,372,ڪم ڪرڻ,"Justice, equity; a judicial trial; a court of justice, Judicial, To act judicially, A court of justice","93) عَدالَتَ
			(p. 372) عَدالَتَ n. Justice, equity; a judicial trial; a court of justice. عَدالتيِ a. Judicial عدالتيِ ڪم ڪرڻ To act judicially. عدالتيِ مَحْڪُمو n. A court of justice."
عَقْدُ,374,,"A contract; a knot, The marriage knot,, To join in wedlock, as a priest does, A hard knot or problem, a difficulty; secret, mystery","94) عَقْدُ
			(p. 374) عَقْدُ n. A contract; a knot. عَقْدۇن pl. The marriage knot, (used only of marriage with a concubine). عقدپڙهڻ-ڪرڻ To join in wedlock, as a priest does. عُقُدو n. A hard knot or problem, a difficulty; secret, mystery."
عَمَلُ,375,عمل ڪرڻ,"Governing, government, jurisdiction, rule; act; practice; effect; time of day, To practise, put into execution, To act, An officer, Administration, government, A problem, Practical","95) عَمَلُ
			(p. 375) ...Governing, government, jurisdiction, rule; act; practice; effect; time of day عمل ڪرڻ v. t. To practise, put into execution. v.a. To act (as a medicine.) عَمْلدارُ n. An officer. عملداريِ n. Administration, government. عمليِ سڌيان (geom). A problem. عمليِ a. Practical..."
غَصَبُ,377,غصب ڪرڻ,"Embezzlement, Taken by unlawful and violent means; embezzled, To dispossess","96) غَصَبُ
			(p. 377) غَصَبُ n. Embezzlement. a. Taken by unlawful and violent means; embezzled. غصب ڪرڻ v. t. To dispossess."
فاقو,379,or ڪرڻ,"Starvation, fasting, To go without food, fast","97) فاقو
			(p. 379) فاقو n. Starvation, fasting. فاقوڪڍڻ or ڪرڻ To go without food, fast."
فَنا,383,فنا ڪرڻ,"Extinct, exterminated, Extinction, destruction, To perish, to be destroyed, To destroy, A small drinking glass","98) فَنا
			(p. 383) فَنا a. Extinct, exterminated. n. Extinction, destruction. فنا ٿئڻ v. i. To perish, to be destroyed. فنا ڪرڻ v. t. To destroy فِنجانُ n. A small drinking glass."
قَتْلُ,385,قتل ڪرڻ,"Slaughter, murder, A general massacre, To kill, murder, slaughter","99) قَتْلُ
			(p. 385) قَتْلُ n. Slaughter, murder. قتل عام n. A general massacre. قتل ڪرڻ v. t. To kill, murder, slaughter."
قَطَعَ,387,قطع ڪرڻ,"A section, A sector, A segment of a circle, To cut, A kind of verse, in which the even lines rhyme and the meaning of the first verse of each stanza is completed in the","100) قَطَعَ
			(p. 387) ...A section. قطاع n. (geom.) A sector. قطع دائرو n. (geom.) A segment of a circle. قطع ڪرڻ To cut. قطعہ n. A kind of verse, in which the even lines rhyme and the meaning of the first verse of each stanza is completed in the..."
قَلَمُ,388,قلم ڪرڻ,"A pen case, To cut; prune, To spend fast, Written, not oral; manuscript, Crystallized saltpetre","101) قَلَمُ
			(p. 388) ...A pen case. قلم ڪرڻ v. t. To cut; prune. To spend fast. قلميِ a. Written, not oral; manuscript. قلميِ شورو n. Crystallized saltpetre."
قول ڪرڻ,388,قول ڪرڻ,To make a promise,"102) قول ڪرڻ
			(p. 388) قول ڪرڻ To make a promise."
ڪاٽَ,390,ڪاٽ ڪرڻ,"Deduction, Idem, To deduct; cut, Notorious, Spoken of interest, when it is entered on the money credited or debited in the accounts of both parties, A kind of salve applied to sore eyes","103) ڪاٽَ
			(p. 390) ...Deduction. ڪاٽ ڪۇٽ Idem. ڪاٽ ڪرڻ To deduct; cut (a pack of cards). ڪاٽِڪۇ a. Notorious (thief). ڪاٽُنئون a. Spoken of interest, when it is entered on the money credited or debited in the accounts of both parties. A kind of salve applied to sore eyes. ڪاٽڻ v. t..."
ڪاٺُ,390,ڪاٺيون ڪرڻ,"To put wood on the fire, To spurn, To gather wood, A wood-seller, A woodcutter","104) ڪاٺُ
			(p. 390) ...To put wood on the fire. ڪاٺيِ ڪرڻ To spurn. ڪاٺيون ڪرڻ To gather wood. ڪاٺِيارو or ڪاٺِيَرُ n. A wood-seller. A woodcutter."
ڪاپو,390,ڪاپو ڪرڻ,"Cutting; harvest, Labour, Teasing or carding cotton, To act persistently, To spin","105) ڪاپو
			(p. 390) ڪاپو n. Cutting; harvest (of indigo). Labour. Teasing or carding cotton. ڪاپوڪڍڻ To act persistently. ڪاپو ڪرڻ To spin."
ڪارۇنْڀار,392,ڪارومنهن ڪرڻ,"An unknown person, See under, To blacken one, To deflour, ravish, commit an unnatural offence, Blackened in the face, disgraced, Black marks in a horse, To bishop or countermark","106) ڪارۇنْڀار
			(p. 392) ...An unknown person. ڪاروڌاتۇرو See under ڪارومنهن ڪرڻ .ڌاتۇرو To blacken one's face, to disgrace. To deflour, ravish, commit an unnatural offence. ڪارَمُنهون a. Blackened in the face, disgraced. ڪارِيۇن n. Black marks in a horse's teeth. هٿراڌيِ ڪاريون ڪڍڻ To bishop or countermark..."
ڪاغَذُ,393,ڪاغذ ڪرڻ,"Paper; account, To make out a balance sheet, To give a bond, A maker or seller of paper, An accountant, A white pigeon, Brittle, thin-shelled","107) ڪاغَذُ
			(p. 393) ڪاغَذُ n. Paper; account. ڪاغذ ڪرڻ v. i. To make out a balance sheet. ڪاغذ لکيِ ڏيڻ v. i. To give a bond. ڪاغذيِ n. A maker or seller of paper. An accountant. A white pigeon. a. Brittle, thin-shelled (an almond)."
ڪرڻ,403,403) ڪرڻ,"To be backward, or wanting in","108) ڪرڻ
			(p. 403) ڪرڻ v. i. To be backward, or wanting in.tight in packing; to compress."
ڪَرَڻُ,410,باه ڪرڻ,"To add more fuel to the fire, To have done by mistake, Work, act, deed; conduct","109) ڪَرَڻُ
			(p. 410) ...carry on, transact, discharge (a duty, etc.); to hold (a court); to manage, contrive; complete, finish; solve, work out (a sum, etc.); cook, dress (food); wear, put on (clothes, etc.); engage, take on hire. باه ڪرڻ To add more fuel to the fire. ڪريِ وهڻ To have done by mistake. ڪرڻيِ n. Work, act, deed; conduct..."
ڪِريِ,410,denial. ڪرڻ,"Abstinence, regimen, temperance, self denial, To refrain, abstain, Temperate, self-denying with temperance","110) ڪِريِ
			(p. 410) ڪِريِ n. Abstinence, regimen, temperance, self denial. ڪرڻ or ڪريِ رکڻ To refrain, abstain. ڪريائتو a. or adv. Temperate, self-denying with temperance."
ڪُکِہ,416,ribs ڪرڻ,"The hypochondrium, the slender part of the body under the short ribs, To eat its belly full","111) ڪُکِہ
			(p. 416) ڪُکِہ n. The hypochondrium, the slender part of the body under the short ribs ڪرڻ or ڪکہ ڪڍڻ To eat its belly full (spoken of cattle)."
ڪَنٺُ,422,ڪنٺ ڪرڻ,"Throat, By heart, committed to memory, Gutteral, To learn by heart, King, A kind of necklace","112) ڪَنٺُ
			(p. 422) ڪَنٺُ n. Throat. ڪَنٺ a. or adv. By heart, committed to memory. ڪنٺٿ a. Gutteral. ڪنٺ ڪرڻ To learn by heart. ڪنٺ مالا n. King's evil, scrofula. ڪنٺيِ n. A kind of necklace."
ڪُندَنُ,423,ڪندن ڪرڻ,"Pure gold, leaf gold used for setting jewels, To enchase","113) ڪُندَنُ
			(p. 423) ڪُندَنُ n. Pure gold, leaf gold used for setting jewels. ڪندن ڪرڻ To enchase."
ڪَنڌَ ۾ وَرُ,423,ڪنڌهيٺ ڪرڻ,"Stiff neck, To hang down one, A kind of frame of wood put round a bullock, Short-necked","114) ڪَنڌَ ۾ وَرُ
			(p. 423) ڪَنڌَ ۾ وَرُ Stiff neck. ڪنڌهيٺ ڪرڻ To hang down one's head. ڪَنڌاٽُ n. A kind of frame of wood put round a bullock's neck as a collar in working a water-wheel, &c. ڪَنڌَڪُرْٽو or ڪنڌڪواه a. Short-necked. ڪنڌ n"
ڪۇچُ,429,ڪۇچ ڪرڻ,"A march, The noise of the river in stormy weather, To march","115) ڪۇچُ
			(p. 429) ڪۇچُ n. A march. The noise of the river in stormy weather. ڪۇچ ڪرڻ To march."
ڪوڎو,430,ڪوڎيِٴمانُ ڪرڻ,"A play with cowrees, To disgrace","116) ڪوڎو
			(p. 430) ...A play with cowrees. ڪوڎيِٴمانُ ڪرڻ v. t. To disgrace."
ڪوڙو,431,ڪوڙيِ ڪرڻ,"The breast, bosom; grasp, embrace, To embrace, fold between two arms","117) ڪوڙو
			(p. 431) ڪوڙو n. The breast, bosom; grasp, embrace. ڪوڙيِ ڪرڻ v. t. To embrace, fold between two arms."
ڪوڪَ,431,ڪوڪ ڪرڻ,"Basting clothes, To tack, stitch together, baste","118) ڪوڪَ
			(p. 431) ڪوڪَ n. Basting clothes. ڪوڪ ڪرڻ or هڻڻ To tack, stitch together, baste."
ڪوڪُ,432,ڪوڪ ڪرڻ,"A method of cooking a fish by grilling it whole; a fish so cooked, To grill","119) ڪوڪُ
			(p. 432) ڪوڪُ n. A method of cooking a fish by grilling it whole; a fish so cooked. ڪوڪ ڪرڻ v. t. To grill."
ڪُهائيِ,434,ڪهائيِ ڪرڻ,"Still born, To be still born, To bring on a miscarriage, to cause abortion","120) ڪُهائيِ
			(p. 434) ڪُهائيِ a. Still born (an infant). ڪهائيِ ٿئَڻ To be still born (a child). ڪهائيِ ڪرڻ To bring on a miscarriage, to cause abortion."
ڪيسُ,437,ڪيس ڪرڻ,"Case, To let the hair of the head grow, To dye the hair, Washing the head, One who allows the hair of the head to grow","121) ڪيسُ
			(p. 437) ...of Case. ڪيس رکڻ To let the hair of the head grow. ڪيس لائڻ or ڪيس ڪرڻ To dye the hair. ڪيسيِ سنان Washing the head. ڪيساڌاريِ n. or a. One who allows the hair of the head to grow."
کِٿُ,441,کٿُ ڪرڻ,"Shame-stricken, ashamed, To tease","122) کِٿُ
			(p. 441) کِٿُ a. Shame-stricken, ashamed کٿُ ڪرڻ v. i. To tease."
کوٽيِ ڪرڻ,453,کوٽيِ ڪرڻ,To detain unnecessarily,"123) کوٽيِ ڪرڻ
			(p. 453) کوٽيِ ڪرڻ v. t. To detain unnecessarily."
گاسَڻِ,459,گاسڻ ڪرڻ,"Rounding, marline, small ropes wound round a rope to keep it from chafing, To worm","124) گاسَڻِ
			(p. 459) گاسَڻِ n. (naut.) Rounding, marline, small ropes wound round a rope to keep it from chafing. گاسڻ ڪرڻ v. t. To worm."
گلُ,468,گل ڪرڻ,"A flower garden, To extinguish, To lead to, Rosy-cheeked, Pomegranate blossoms; carnation, rosy pink, Having a ruddy face","125) گلُ
			(p. 468) ...A flower garden. گل ڪرڻ v. t. To extinguish (a light). v. i. To lead to (ill) consequences; reveal ugly facts. گُلْ ڳِلو a. Rosy-cheeked. گلنار n. Pomegranate blossoms; carnation, rosy pink. گل مُنهون a. Having a ruddy face."
کُلابُ,469,گلاباشيِ ڪرڻ,"A bottle for sprinkling rose-water from, To sprinkle rose-water, Rose-coloured, pink; of rose-water, like to or smelling of rose-water","126) کُلابُ
			(p. 469) ...A bottle for sprinkling rose-water from. گلاباشيِ ڪرڻ To sprinkle rose-water. گلابيِ a. Rose-coloured, pink; of rose-water, like to or smelling of rose-water."
گُمُ,470,گم ڪرڻ,"To be lost to disappear, To hide; to lose, Erring, astray, perplexed, The losing one, Unknown to fame; anonymous","127) گُمُ
			(p. 470) ...To be lost to disappear. گم ڪرڻ v. t. To hide; to lose. گمراه a. Erring, astray, perplexed. گمراهيِ n. The losing one's way, perplexity. گم نام a. Unknown to fame; anonymous."
گۇدَڙُ,473,under ڪرڻ,"Cheap Jack, See, A kind of fakir who always wears a godiri","128) گۇدَڙُ
			(p. 473) ...Cheap Jack. گودڙيو See ڪرڻيِ گور under ڪرڻ A kind of fakir who always wears a godiri."
گولُ,475,مال ڪرڻ,"The segment of a circle, To make a mess of, Roundness, A cannon ball, A sphere, globe, Ovolo, A bullet, Butts","129) گولُ
			(p. 475) ...The segment of a circle. گول مال ڪرڻ To make a mess of. گولاڻ or گولائيِ n. Roundness. گولو n. A cannon ball. A sphere, globe. (arch.) Ovolo. گوليِ n. A bullet. گوليِ مارِ n. Butts."
ڳۇڙهو,486,ڳۇڙه ڪرڻ,"A drinker of strong bhang, To shoal, Density, etc, Somewhat thick or dense","130) ڳۇڙهو
			(p. 486) ...A drinker of strong bhang. ڳۇڙه ڪرڻ v. i. To shoal. ڳۇڙهاڻ or ڳوڙهائيِ n. Density, etc. ڳوڙهيرڙو or ڳۇڙهيرو a. Somewhat thick or dense."
گهاتُ,488,گهات ڪرڻ,"Opportunity, Deceit, Slaughtering, killing, To commit suicide, A killer, an injurer, A fisherman, Murderous; inauspicious, evil","131) گهاتُ
			(p. 488) گهاتُ n. Opportunity. Deceit. Slaughtering, killing. پاڻ گهات ڪرڻ To commit suicide. گهاتۇ n. A killer, an injurer. A fisherman. گهاتيِ a. Murderous; inauspicious, evil (star.)"
گهاءُ,488,گهاءُ ڪرڻ,"A wound, To wound; injure one, To avoid the moment of one","132) گهاءُ
			(p. 488) گهاءُ n. A wound. گهاءُ ڪرڻ To wound; injure one's feelings. گهاءُگسائڻ To avoid the moment of one's passion."
گهَٽِ,489,گهٽ ڪرڻ,"Deficient, wanting, short, defective; insufficient, less, inferior, To lessen; reduce; abase, demean or degrade, To lessen, diminish, retrench, reduce; humiliate, abase, degrade; to humble, To fall, or come short, Not to be behindhand, or do one","133) گهَٽِ
			(p. 489) ...Deficient, wanting, short, defective; insufficient, less, inferior. گهٽ ڪرڻ v. t. To lessen; reduce; abase, demean or degrade (one self). گهٽائڻ v. i. To lessen, diminish, retrench, reduce; humiliate, abase, degrade; to humble. To fall, or come short (as لچائيِ ۾ ڪين گهٽائڻ Not to be behindhand, or do one's worst in..."
لا,497,لاجواب ڪرڻ,"Silenced, confuted, not to be objected to, To silence, confute, Helpless; without remedy on excuse; compelled, forced; poor, Helplessness; destitution; necessity, Necessity has no law, Ineffectual, barren, fruitless","134) لا
			(p. 497) ...Silenced, confuted, not to be objected to. لاجواب ڪرڻ v. t. To silence, confute. لاچارُ a. Helpless; without remedy on excuse; compelled, forced; poor. لاچار or لاچاريِ n. Helplessness; destitution; necessity (as لاچارکيِ سڀ روا Necessity has no law). لاحاصل a. Ineffectual, barren, fruitless..."
"لالَچِ , لالِچِ",500,لالچ ڪرڻ,"Covetousness, avarice, greediness, cupidity, To tempt, allure, entice, To be greedy, Covetous, greedy","135) لالَچِ , لالِچِ
			(p. 500) لالَچِ or لالِچِ n. Covetousness, avarice, greediness, cupidity. لالچائڻ or لالچ ڎيڻ v. t. To tempt, allure, entice. لالچ ڪرڻ To be greedy. لالچيِ n. Covetous, greedy."
لَنگَهہ,514,fasting. ڪرڻ,"Fast, fasting, To fast","136) لَنگَهہ
			(p. 514) ...Fast, fasting. ڪرڻ or لنگهڻ ڪڍڻ v. i. To fast."
لِيلاَ,521,ليلا ڪرڻ,"Amorous sports; phenomena, wonders, An actor, To represent a character","137) لِيلاَ
			(p. 521) لِيلاَ n. Amorous sports; phenomena, wonders. ليلاڌاريِ n. An actor. ليلا ڪرڻ To represent a character."
مانيِ,529,ماني ڪرڻ,"Bread, a loaf of bread, a cake; food, meat, A dinner, See under, To invite to dinner; to make a dinner after any one, Mah","138) مانيِ
			(p. 529) مانيِ n. Bread, a loaf of bread, a cake; food, meat. A dinner. a. See under مانُ ماني ڪرڻ To invite to dinner; to make a dinner after any one's death (Mah.)"
مائِٽُ,530,مائٽيِ ڪرڻ,"Betrothal, To demand some one, To betroth, A matchmaking woman","139) مائِٽُ
			(p. 530) ...Betrothal. مائٽيِ چوڻ To demand some one's daughter or son in marriage. مائٽيِ ڪرڻ To betroth. مائٽيِ ڪندڙزال n. A matchmaking woman."
مِٽيِ,535,مٽيِ ڪرڻ,"An effigy in clay; the human frame, A man of clay, said of one who is beaten as if he belongs to no one, To dirty, soil; to spoil, To slaughter, To roll in the dust, A dead body","140) مِٽيِ
			(p. 535) ...An effigy in clay; the human frame. مٽئيِ جوماڻهو A man of clay, said of one who is beaten as if he belongs to no one. مٽيِ ڪرڻ To dirty, soil; to spoil. To slaughter (a goat). مٽئيِ ۾ ليٽڻ To roll in the dust. مُئي مِٽيِ n. A dead body. مِٽِيَرُ"
"مَجْلَسَ، مَجِلَسَ , مَجْلِسَ",537,مجلس ڪرڻ,"A council, assembly, meeting, company, A feast, banquet, To meet together, To make a feast, One invited to an assembly; social","141) مَجْلَسَ، مَجِلَسَ , مَجْلِسَ
			(p. 537) مَجْلَسَ، مَجِلَسَ or مَجْلِسَ n. A council, assembly, meeting, company. A feast, banquet. مجلس ڪرڻ To meet together (as friends). To make a feast. مجلسيِ a. One invited to an assembly; social."
مُخالِفُ,540,مخالفت ڪرڻ,"An opponent, enemy, Contrary, opposite, Enmity, opposition contrariety, To go against, oppose","142) مُخالِفُ
			(p. 540) مُخالِفُ n. An opponent, enemy. a. Contrary, opposite. مُخالِفَتَ n. Enmity, opposition contrariety. مخالفت ڪرڻ To go against, oppose."
مِزاجُ,547,مزاج ڪرڻ,"Temper, humour, disposition, Pride, hauteur, To show temper; to be proud, Of obstinate or flighty disposition, who acts without attending to others, proud, Fastidious","143) مِزاجُ
			(p. 547) مِزاجُ n. Temper, humour, disposition. Pride, hauteur. مزاج ڪرڻ To show temper; to be proud. مزاجي a. Of obstinate or flighty disposition, who acts without attending to others, proud. Fastidious."
مِسِ مِسِ ڪرڻ,549,مِسِ ڪرڻ,"To whisper flattering words, Demure","144) مِسِ مِسِ ڪرڻ
			(p. 549) مِسِ مِسِ ڪرڻ v. t. To whisper flattering words. مِسْمِسْيو a. Demure."
مطُالَعَ,552,مطالع ڪرڻ,"Reading, perusal; study, To read, etc","145) مطُالَعَ
			(p. 552) مطُالَعَ n. Reading, perusal; study. مطالع ڪرڻ To read, etc."
مَعافُ,552,معاف ڪرڻ,"Absolved, exempted, forgiven, pardoned, excused, To absolve, dispense with; to pardon, excuse, remit, Exemption, immunity, pardon; remission, Exempt from rent and tax, A holder of rent-free land, grantee","146) مَعافُ
			(p. 552) مَعافُ adj. Absolved, exempted, forgiven, pardoned, excused. معاف ڪرڻ To absolve, dispense with; to pardon, excuse, remit. معافيِ n. Exemption, immunity, pardon; remission (of revenue). a. Exempt from rent and tax (land). معافيدار n. A holder of rent-free land, grantee."
مَعْلوُمُ,553,معلوم ڪرڻ,"Known, evident, To find out; to peceive; know, Information","147) مَعْلوُمُ
			(p. 553) مَعْلوُمُ a. Known, evident. معلوم ڪرڻ v. t. To find out; to peceive; know. معلۇميت n. Information."
مُنڍَ,563,منڍ ڪرڻ,"Embden groats, pearl barley, barley separated from the husk by pounding, To pearl barley","148) مُنڍَ
			(p. 563) مُنڍَ n. (plural) Embden groats, pearl barley, barley separated from the husk by pounding منڍ ڪرڻ To pearl barley."
مَيْدانُ,577,ميدان ڪرڻ,,"149) مَيْدانُ
			(p. 577) run, gallop (a horse, &c.). ميدان ڪرڻ"
ناديِ,582,ناديِ ڪرڻ,,"150) ناديِ
			(p. 582) in his ear on his adoption. ناديِ ڪرڻ"
نامُ,584,چت ڪرڻ,"Hopeless, despairing","151) نامُ
			(p. 584) a. Hopeless, despairing. نام چت ڪرڻ"
نانهِ,585,نانه ڪرڻ,To annihilate; to refuse,"152) نانهِ
			(p. 585) نانه ڪرڻ To annihilate; to refuse."
نِڙيِ,592,نڙيِ ڪرڻ,"The wind-pipe, throat, gorge, gullet, To be hoarse","153) نِڙيِ
			(p. 592) n. The wind-pipe, throat, gorge, gullet. نڙيِ پوڻ To be hoarse. نڙيِ ڪرڻ"
نَقُلُ,595,نقل ڪرڻ,"Copying fee, To copy; to represent, A copyist, Copying, To scold, jibe, Counterfeit; traditional, An imitator, mimic, A story-teller","154) نَقُلُ
			(p. 595) ...Copying fee. نقل ڪرڻ To copy; to represent (as an actor does). نقل نويس n. A copyist. نقل نويسيِ n. Copying. نقل هلڻ To scold, jibe. نقليِ a. Counterfeit; traditional. n. An imitator, mimic. A story-teller."
نِگاهَ,597,نگاه ڪرڻ,"Lustre, splendour, To fall upon, To see; to look after, See, A guard, watchman, A guardian angel, Watching","155) نِگاهَ
			(p. 597) ...Lustre, splendour. نگاه پوڻ To fall upon (one's eyes). نگاه ڪرڻ To see; to look after. نگه See نگهبان .نگاه n. A guard, watchman. نگهبان فرشتو n. A guardian angel. نگهبانيِ n. Watching."
"نيڪاسُ , نيڪالُ",606,نيڪال ڪرڻ,"Export; exportation; a passage or vent for water, Negotiation, To dispose of; to negotiate, Expulsion, banishment","156) نيڪاسُ , نيڪالُ
			(p. 606) نيڪاسُ or نيڪالُ n. Export; exportation; a passage or vent for water. (com.) Negotiation (of a hundi). نيڪال ڪرڻ To dispose of; to negotiate. نيڪاليِ n. Expulsion, banishment."
واتُ,608,وات ڪرڻ,"A great talker, one who speaks in a disrespectful manner, To shout; use abusive language, To bite, To ask, make a request To talk loosely, To be able to speak for oneself, be of age, or a major, Emetic causing","157) واتُ
			(p. 608) ...A great talker, one who speaks in a disrespectful manner وات ڪرڻ To shout; use abusive language. وات وجهڻ To bite (as a camel, etc does). To ask, make a request To talk loosely. وات وڪيل هئڻ To be able to speak for oneself, be of age, or a major. واتَوارو a. Emetic causing..."
واصُلُ,611,واصل ڪرڻ,"The debtor side of an account, To meet, To debit, The proceeds of an estate","158) واصُلُ
			(p. 611) واصُلُ n. The debtor side of an account. واصل ٿئڻ To meet. واصل ڪرڻ To debit. واصُلاتَ n. The proceeds of an estate."
وَٽَ,616,وراڻ ڪرڻ,"Moistening, moisture, To eat any fresh produce for the first time in the season, To second, back up","159) وَٽَ
			(p. 616) ...Moistening, moisture. (a. وٽائتو), وٽ ڪرڻ To eat any fresh produce for the first time in the season. وٽ وراڻ ڪرڻ To second, back up."
وَٽُ,616,سارڻ ڪرڻ,"The gripes, a griping pain, To bear malice, To cleanse the person after making water, etc,, Mah, To throw an obstacle, put a spoke in the wheel","160) وَٽُ
			(p. 616) ...The gripes, a griping pain. وٽ رکڻ To bear malice. وٽ پچائڻ سارڻ ڪرڻ To cleanse the person after making water, etc, (as a Mah. does). وٽ وجهڻ To throw an obstacle, put a spoke in the wheel."
وَرْنُ,625,ورن ڪرڻ,"Variegated, To change colour, An outcaste, Coloured, Blood coloured","161) وَرْنُ
			(p. 625) ...Variegated. ورن ورن ڪرڻ v. i. To change colour. وَرْنَ هِيڻُ n. An outcaste. وَرْنو a. Coloured (used as an affix), as رت ورنو Blood coloured."
"وِصالُ , وَصْلُ",629,وصال ڪرڻ,"Meeting, union of lovers;, Sufis, To die, Making up, pasting and repairing the leaves of a book previous to rebinding","162) وِصالُ , وَصْلُ
			(p. 629) وِصالُ or وَصْلُ n. Meeting, union of lovers; (Sufis) death. وصال ڪرڻ To die. وصاليِ n. Making up, pasting and repairing the leaves of a book previous to rebinding."
"ۇصۇلُ , وِصۇلُ",629,وصول ڪرڻ,"Collecting, To collect, Collection of dues recoverable","163) ۇصۇلُ , وِصۇلُ
			(p. 629) ۇصۇلُ or وِصۇلُ n. Collecting (money). وصول ڪرڻ or وصولڻ v. t. To collect (money), realize. وصۇليِ n. Collection of dues recoverable."
وَصِيَتَ,629,وصيت ڪرڻ,"A last will or testament orally delivered, nuncupative will, To bequeath, A last will or testament","164) وَصِيَتَ
			(p. 629) وَصِيَتَ n. A last will or testament orally delivered, nuncupative will. وصيت ڪرڻ To bequeath. وصيت نامو n. A last will or testament."
وَضَعُ,629,وضع ڪرڻ,"Deductihn, Subtraction, To deduct","165) وَضَعُ
			(p. 629) وَضَعُ n. Deductihn. وَضَعُ باقيِ Subtraction. وضع ڪرڻ To deduct."
ۇضۇ,629,(Mah.). ڪرڻ,"Ablution before prayer, Mah, To perform ablutions","166) ۇضۇ
			(p. 629) ۇضۇ n. Ablution before prayer (Mah.). ڪرڻ or وضۇسارڻ To perform ablutions."
"وِڻاهُ , وِڻاءُ",634,وڻاهُ ڪرڻ,"Injury, fear of injuries, To make too much of; to create mischief, To burrow, A murderer, a homicide, Fatal, murderous","167) وِڻاهُ , وِڻاءُ
			(p. 634) ...Injury, fear of injuries. وڻاهُ ڪرڻ or وڻاُءُ v. i. To make too much of; to create mischief. To burrow (as an abscess). وڻاهي n. A murderer, a homicide. a. Fatal, murderous."
وِياڪُلُ,637,وِياڪُلُ ڪرڻ,"Confounded, troubled, To annoy, trouble, Perplexity","168) وِياڪُلُ
			(p. 637) وِياڪُلُ a. Confounded, troubled. وِياڪُلُ ڪرڻ v. t. To annoy, trouble. وِياڪُلْتا n. Perplexity."
ويِلو,641,ويِلو ڪرڻ,"Voracity, A pain of the bowels, To eat or swallow","169) ويِلو
			(p. 641) ويِلو n. Voracity. A pain of the bowels. ويِلو ڪرڻ v. t. To eat or swallow (said in disgust)."
هَتَڪَ,645,هتڪ عزت ڪرڻ,"Dishonor, loss of reputation, To defame","170) هَتَڪَ
                        (p. 645) هَتَڪَ n. Dishonor, loss of reputation. هتڪ عزت ڪرڻ To defame."
هَٿُ,646,هٿوپائيِ ڪرڻ,"Fiddling, tossing about articles to another, To be forward, Masturbation, To take care of, consider as one, To sever one, To obtain, get, To raise one","171) هَٿُ
			(p. 646) ...Fiddling, tossing about articles to another's annoyance. هٿوپائيِ ڪرڻ To be forward. هَٿَ رَسُ n. Masturbation. هَٿُ رکڻ To take care of, consider as one's own. هٿ ڪڍڻ To sever one's connection. هَٿِ ڪَرَڻُ To obtain, get. هَٿُ کَڻَڻُ To raise one's hand. To..."
هِرْتُ,649,هرت ڪرڻ,"Disappeared, lost, lapsed, To take or snatch away","172) هِرْتُ
			(p. 649) هِرْتُ a. (indic.) Disappeared, lost, lapsed (used only with abstract nouns, as excellence, sense, &c.). هرت ڪرڻ v. t. To take or snatch away."
هِشِ,651,هش ڪرڻ,"The cry for driving off a cat,, To pooh pooh","173) هِشِ
			(p. 651) هِشِ n. The cry for driving off a cat, &c., hish. هش هش ڪرڻ To pooh pooh."
هَضَمُ,652,هضم ڪرڻ,"Digestion, To be digested, etc, To digest; to embezzle, Digestive","174) هَضَمُ
			(p. 652) هَضَمُ n. Digestion. هَضَمُ ٿِيَڻُ v. i. To be digested, etc. هضم ڪرڻ v. t. To digest; to embezzle. هضميِ a. Digestive."
"هَلاڪُ , هَلاکُہ",653,هلاکہ ڪرڻ,"Bothered, annoyed, wearied, trouble, vexed, To trouble, annoy, Annoyance, bother, vexation, trouble","175) هَلاڪُ , هَلاکُہ
			(p. 653) هَلاڪُ or هَلاکُہ a. Bothered, annoyed, wearied, trouble, vexed. هلاکہ ڪرڻ v. t. To trouble, annoy. هلاڪت هلاڪيِ or هلاکيِ n. Annoyance, bother, vexation, trouble."
